Infinitive,предви́деть
Zaliznyak Class,5a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предви́дящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предви́девший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предви́димый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предви́денный
PART:3:Participle Type,passive
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
PART:4:Participle Text,предви́дя
PART:4:Participle Type,adverbial
PART:4:Participle Tense,present
PART:4:Participle Long or Short,long
PART:5:Participle Text,предви́дев
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,short
PART:6:Participle Text,предви́девши
PART:6:Participle Type,adverbial
PART:6:Participle Tense,past
PART:6:Participle Long or Short,long
1st Sing,предви́жу
2nd Sing,предви́дишь
3rd Sing,предви́дит
1st Pl,предви́дим
2nd Pl,предви́дите
3rd Pl,предви́дят
Past M,предви́дел
Past F,предви́дела
Past N,предви́дело
Past PL,предви́дели
Imp S,—
Imp PL,—
