Infinitive,проби́ться
Zaliznyak Class,11b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проби́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проби́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пробью́сь
2nd Sing,пробьёшься
3rd Sing,пробьётся
1st Pl,пробьёмся
2nd Pl,пробьётесь
3rd Pl,пробью́тся
Past M,проби́лся
Past F,проби́лась
Past N,проби́лось
Past PL,проби́лись
Imp S,пробе́йся
Imp PL,пробе́йтесь
