Infinitive,прораста́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прораста́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прораста́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прораста́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прораста́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прораста́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прораста́ю
2nd Sing,прораста́ешь
3rd Sing,прораста́ет
1st Pl,прораста́ем
2nd Pl,прораста́ете
3rd Pl,прораста́ют
Past M,прораста́л
Past F,прораста́ла
Past N,прораста́ло
Past PL,прораста́ли
Imp S,прораста́й
Imp PL,прораста́йте
