Infinitive,прочерти́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прочерти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проче́рченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прочерти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прочерти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прочерчу́
2nd Sing,проче́ртишь
3rd Sing,проче́ртит
1st Pl,проче́ртим
2nd Pl,проче́ртите
3rd Pl,проче́ртят
Past M,прочерти́л
Past F,прочерти́ла
Past N,прочерти́ло
Past PL,прочерти́ли
Imp S,прочерти́
Imp PL,прочерти́те
