Infinitive,пробаси́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пробаси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пробаси́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пробаси́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пробашу́
2nd Sing,пробаси́шь
3rd Sing,пробаси́т
1st Pl,пробаси́м
2nd Pl,пробаси́те
3rd Pl,пробася́т
Past M,пробаси́л
Past F,пробаси́ла
Past N,пробаси́ло
Past PL,пробаси́ли
Imp S,пробаси́
Imp PL,пробаси́те
