Infinitive,пронести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пронёсшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пронеся́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пронёсшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пронесу́сь
2nd Sing,пронесёшься
3rd Sing,пронесётся
1st Pl,пронесёмся
2nd Pl,пронесётесь
3rd Pl,пронесу́тся
Past M,пронёсся
Past F,пронесла́сь
Past N,пронесло́сь
Past PL,пронесли́сь
Imp S,пронеси́сь
Imp PL,пронеси́тесь
