Infinitive,пренебрега́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пренебрега́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пренебрега́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пренебрега́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пренебрега́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пренебрега́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пренебрега́ю
2nd Sing,пренебрега́ешь
3rd Sing,пренебрега́ет
1st Pl,пренебрега́ем
2nd Pl,пренебрега́ете
3rd Pl,пренебрега́ют
Past M,пренебрега́л
Past F,пренебрега́ла
Past N,пренебрега́ло
Past PL,пренебрега́ли
Imp S,пренебрега́й
Imp PL,пренебрега́йте
