Infinitive,представля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,представля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,представля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,представля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,представля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,представля́юсь
2nd Sing,представля́ешься
3rd Sing,представля́ется
1st Pl,представля́емся
2nd Pl,представля́етесь
3rd Pl,представля́ются
Past M,представля́лся
Past F,представля́лась
Past N,представля́лось
Past PL,представля́лись
Imp S,представля́йся
Imp PL,представля́йтесь
