Infinitive,предусма́триваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,предусма́тривающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предусма́тривавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предусма́триваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предусма́тривавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предусма́триваюсь
2nd Sing,предусма́триваешься
3rd Sing,предусма́тривается
1st Pl,предусма́триваемся
2nd Pl,предусма́триваетесь
3rd Pl,предусма́триваются
Past M,предусма́тривался
Past F,предусма́тривалась
Past N,предусма́тривалось
Past PL,предусма́тривались
Imp S,предусма́тривайся
Imp PL,предусма́тривайтесь
