Infinitive,приме́рить
Zaliznyak Class,4a // 1a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приме́ривший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приме́ренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приме́рив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приме́ривши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приме́рю
2nd Sing,приме́ришь
3rd Sing,приме́рит
1st Pl,приме́рим
2nd Pl,приме́рите
3rd Pl,приме́рят
Past M,приме́рил
Past F,приме́рила
Past N,приме́рило
Past PL,приме́рили
Imp S,приме́рь
Imp PL,приме́рьте
