Infinitive,присмотре́ть
Zaliznyak Class,5c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,присмотре́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,присмо́тренный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,присмотре́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,присмотре́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,присмотрю́
2nd Sing,присмо́тришь
3rd Sing,присмо́трит
1st Pl,присмо́трим
2nd Pl,присмо́трите
3rd Pl,присмо́трят
Past M,присмотре́л
Past F,присмотре́ла
Past N,присмотре́ло
Past PL,присмотре́ли
Imp S,присмотри́
Imp PL,присмотри́те
