Infinitive,предсказа́ть
Zaliznyak Class,6c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предсказа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предска́занный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предсказа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,предсказа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предскажу́
2nd Sing,предска́жешь
3rd Sing,предска́жет
1st Pl,предска́жем
2nd Pl,предска́жете
3rd Pl,предска́жут
Past M,предсказа́л
Past F,предсказа́ла
Past N,предсказа́ло
Past PL,предсказа́ли
Imp S,предскажи́
Imp PL,предскажи́те
