Infinitive,проводи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проводя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проводи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проводя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проводи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,провожу́сь
2nd Sing,прово́дишься
3rd Sing,прово́дится
1st Pl,прово́димся
2nd Pl,прово́дитесь
3rd Pl,прово́дятся
Past M,проводи́лся
Past F,проводи́лась
Past N,проводи́лось
Past PL,проводи́лись
Imp S,проводи́сь
Imp PL,проводи́тесь
