Infinitive,пробира́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пробира́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пробира́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пробира́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пробира́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пробира́юсь
2nd Sing,пробира́ешься
3rd Sing,пробира́ется
1st Pl,пробира́емся
2nd Pl,пробира́етесь
3rd Pl,пробира́ются
Past M,пробира́лся
Past F,пробира́лась
Past N,пробира́лось
Past PL,пробира́лись
Imp S,пробира́йся
Imp PL,пробира́йтесь
