Infinitive,промча́ться
Zaliznyak Class,5b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,промча́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,промча́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,промчу́сь
2nd Sing,промчи́шься
3rd Sing,промчи́тся
1st Pl,промчи́мся
2nd Pl,промчи́тесь
3rd Pl,промча́тся
Past M,промча́лся
Past F,промча́лась
Past N,промча́лось
Past PL,промча́лись
Imp S,промчи́сь
Imp PL,промчи́тесь
