Infinitive,прибра́ть
Zaliznyak Class,6°b/c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прибра́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,при́бранный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прибра́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прибра́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приберу́
2nd Sing,приберёшь
3rd Sing,приберёт
1st Pl,приберём
2nd Pl,приберёте
3rd Pl,приберу́т
Past M,прибра́л
Past F,прибрала́
Past N,прибра́ло
Past PL,прибра́ли
Imp S,прибери́
Imp PL,прибери́те
