Infinitive,прили́пнуть
Zaliznyak Class,3°a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прили́пший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прили́пши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прили́пну
2nd Sing,прили́пнешь
3rd Sing,прили́пнет
1st Pl,прили́пнем
2nd Pl,прили́пнете
3rd Pl,прили́пнут
Past M,прили́п
Past F,прили́пла
Past N,прили́пло
Past PL,прили́пли
Imp S,прили́пни
Imp PL,прили́пните
