Infinitive,производи́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,производя́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,производи́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,производя́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,производи́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,произвожу́сь
2nd Sing,произво́дишься
3rd Sing,произво́дится
1st Pl,произво́димся
2nd Pl,произво́дитесь
3rd Pl,произво́дятся
Past M,производи́лся
Past F,производи́лась
Past N,производи́лось
Past PL,производи́лись
Imp S,производи́сь
Imp PL,производи́тесь
