Infinitive,прикле́иться
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прикле́ившийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прикле́ившись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прикле́юсь
2nd Sing,прикле́ишься
3rd Sing,прикле́ится
1st Pl,прикле́имся
2nd Pl,прикле́итесь
3rd Pl,прикле́ятся
Past M,прикле́ился
Past F,прикле́илась
Past N,прикле́илось
Past PL,прикле́ились
Imp S,прикле́йся
Imp PL,прикле́йтесь
