Infinitive,прищу́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прищу́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прищу́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прищу́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прищу́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прищу́чу
2nd Sing,прищу́чишь
3rd Sing,прищу́чит
1st Pl,прищу́чим
2nd Pl,прищу́чите
3rd Pl,прищу́чат
Past M,прищу́чил
Past F,прищу́чила
Past N,прищу́чило
Past PL,прищу́чили
Imp S,прищу́чь
Imp PL,прищу́чьте
