Infinitive,предвкуша́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предвкуша́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предвкуша́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предвкуша́емый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предвкуша́я
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,предвкуша́в
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,предвкуша́вши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,предвкуша́ю
2nd Sing,предвкуша́ешь
3rd Sing,предвкуша́ет
1st Pl,предвкуша́ем
2nd Pl,предвкуша́ете
3rd Pl,предвкуша́ют
Past M,предвкуша́л
Past F,предвкуша́ла
Past N,предвкуша́ло
Past PL,предвкуша́ли
Imp S,предвкуша́й
Imp PL,предвкуша́йте
