Infinitive,прогу́ливать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прогу́ливающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогу́ливавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прогу́ливаемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прогу́ливая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,прогу́ливав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,прогу́ливавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,прогу́ливаю
2nd Sing,прогу́ливаешь
3rd Sing,прогу́ливает
1st Pl,прогу́ливаем
2nd Pl,прогу́ливаете
3rd Pl,прогу́ливают
Past M,прогу́ливал
Past F,прогу́ливала
Past N,прогу́ливало
Past PL,прогу́ливали
Imp S,прогу́ливай
Imp PL,прогу́ливайте
