Infinitive,прозвуча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прозвуча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прозвуча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прозвуча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прозвучу́
2nd Sing,прозвучи́шь
3rd Sing,прозвучи́т
1st Pl,прозвучи́м
2nd Pl,прозвучи́те
3rd Pl,прозвуча́т
Past M,прозвуча́л
Past F,прозвуча́ла
Past N,прозвуча́ло
Past PL,прозвуча́ли
Imp S,прозвучи́
Imp PL,прозвучи́те
