Infinitive,приоткры́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приоткры́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приоткры́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приоткро́юсь
2nd Sing,приоткро́ешься
3rd Sing,приоткро́ется
1st Pl,приоткро́емся
2nd Pl,приоткро́етесь
3rd Pl,приоткро́ются
Past M,приоткры́лся
Past F,приоткры́лась
Past N,приоткры́лось
Past PL,приоткры́лись
Imp S,приоткро́йся
Imp PL,приоткро́йтесь
