Infinitive,пробра́ться
Zaliznyak Class,6°b/c''
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пробра́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пробра́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,проберу́сь
2nd Sing,проберёшься
3rd Sing,проберётся
1st Pl,проберёмся
2nd Pl,проберётесь
3rd Pl,проберу́тся
Past M,пробра́лся
Past F,пробрала́сь
Past N,пробрало́сь
Past PL,пробрали́сь
Imp S,пробери́сь
Imp PL,пробери́тесь
