Infinitive,пригиба́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,пригиба́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пригиба́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пригиба́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пригиба́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пригиба́юсь
2nd Sing,пригиба́ешься
3rd Sing,пригиба́ется
1st Pl,пригиба́емся
2nd Pl,пригиба́етесь
3rd Pl,пригиба́ются
Past M,пригиба́лся
Past F,пригиба́лась
Past N,пригиба́лось
Past PL,пригиба́лись
Imp S,пригиба́йся
Imp PL,пригиба́йтесь
