Infinitive,пры́гнуть
Zaliznyak Class,3a
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пры́гнувший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пры́гнув
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пры́гнувши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пры́гну
2nd Sing,пры́гнешь
3rd Sing,пры́гнет
1st Pl,пры́гнем
2nd Pl,пры́гнете
3rd Pl,пры́гнут
Past M,пры́гнул
Past F,пры́гнула
Past N,пры́гнуло
Past PL,пры́гнули
Imp S,пры́гни
Imp PL,пры́гните
