Infinitive,проста́ивать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,False
PART:0:Participle Text,проста́ивающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проста́ивавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проста́иваемый
PART:2:Participle Type,passive
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проста́ивая
PART:3:Participle Type,adverbial
PART:3:Participle Tense,present
PART:3:Participle Long or Short,long
PART:4:Participle Text,проста́ивав
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,short
PART:5:Participle Text,проста́ивавши
PART:5:Participle Type,adverbial
PART:5:Participle Tense,past
PART:5:Participle Long or Short,long
1st Sing,проста́иваю
2nd Sing,проста́иваешь
3rd Sing,проста́ивает
1st Pl,проста́иваем
2nd Pl,проста́иваете
3rd Pl,проста́ивают
Past M,проста́ивал
Past F,проста́ивала
Past N,проста́ивало
Past PL,проста́ивали
Imp S,проста́ивай
Imp PL,проста́ивайте
