Infinitive,предоставля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,предоставля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,предоставля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предоставля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,предоставля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предоставля́юсь
2nd Sing,предоставля́ешься
3rd Sing,предоставля́ется
1st Pl,предоставля́емся
2nd Pl,предоставля́етесь
3rd Pl,предоставля́ются
Past M,предоставля́лся
Past F,предоставля́лась
Past N,предоставля́лось
Past PL,предоставля́лись
Imp S,предоставля́йся
Imp PL,предоставля́йтесь
