Infinitive,прогля́дывать
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прогля́дывающий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прогля́дывавший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прогля́дывая
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прогля́дывав
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,прогля́дывавши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,прогля́дываю
2nd Sing,прогля́дываешь
3rd Sing,прогля́дывает
1st Pl,прогля́дываем
2nd Pl,прогля́дываете
3rd Pl,прогля́дывают
Past M,прогля́дывал
Past F,прогля́дывала
Past N,прогля́дывало
Past PL,прогля́дывали
Imp S,прогля́дывай
Imp PL,прогля́дывайте
