Infinitive,присво́ить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,присво́ивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,присво́енный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,присво́ив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,присво́ивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,присво́ю
2nd Sing,присво́ишь
3rd Sing,присво́ит
1st Pl,присво́им
2nd Pl,присво́ите
3rd Pl,присво́ят
Past M,присво́ил
Past F,присво́ила
Past N,присво́ило
Past PL,присво́или
Imp S,присво́й
Imp PL,присво́йте
