Infinitive,принести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,принёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,принесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,принеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,принёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,принесу́
2nd Sing,принесёшь
3rd Sing,принесёт
1st Pl,принесём
2nd Pl,принесёте
3rd Pl,принесу́т
Past M,принёс
Past F,принесла́
Past N,принесло́
Past PL,принесли́
Imp S,принеси́
Imp PL,принеси́те
