Infinitive,пропали́ть
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пропали́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пропалённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пропали́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пропали́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пропалю́
2nd Sing,пропали́шь
3rd Sing,пропали́т
1st Pl,пропали́м
2nd Pl,пропали́те
3rd Pl,пропаля́т
Past M,пропали́л
Past F,пропали́ла
Past N,пропали́ло
Past PL,пропали́ли
Imp S,пропали́
Imp PL,пропали́те
