Infinitive,прикры́ться
Zaliznyak Class,12a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прикры́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прикры́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,прикро́юсь
2nd Sing,прикро́ешься
3rd Sing,прикро́ется
1st Pl,прикро́емся
2nd Pl,прикро́етесь
3rd Pl,прикро́ются
Past M,прикры́лся
Past F,прикры́лась
Past N,прикры́лось
Past PL,прикры́лись
Imp S,прикро́йся
Imp PL,прикро́йтесь
