Infinitive,пронести́
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пронёсший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пронесённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пронеся́
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пронёсши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пронесу́
2nd Sing,пронесёшь
3rd Sing,пронесёт
1st Pl,пронесём
2nd Pl,пронесёте
3rd Pl,пронесу́т
Past M,пронёс
Past F,пронесла́
Past N,пронесло́
Past PL,пронесли́
Imp S,пронеси́
Imp PL,пронеси́те
