Infinitive,пролежа́ть
Zaliznyak Class,5b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,пролежа́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пролёжанный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пролежа́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,пролежа́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,пролежу́
2nd Sing,пролежи́шь
3rd Sing,пролежи́т
1st Pl,пролежи́м
2nd Pl,пролежи́те
3rd Pl,пролежа́т
Past M,пролежа́л
Past F,пролежа́ла
Past N,пролежа́ло
Past PL,пролежа́ли
Imp S,пролежи́
Imp PL,пролежи́те
