Infinitive,привести́сь
Zaliznyak Class,7b/b⑨
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приве́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приведя́сь
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,приве́дшись
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,приведу́сь
2nd Sing,приведёшься
3rd Sing,приведётся
1st Pl,приведёмся
2nd Pl,приведётесь
3rd Pl,приведу́тся
Past M,привёлся
Past F,привела́сь
Past N,привело́сь
Past PL,привели́сь
Imp S,приведи́сь
Imp PL,приведи́тесь
