Infinitive,присма́триваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,присма́тривающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,присма́тривавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,присма́триваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,присма́тривавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,присма́триваюсь
2nd Sing,присма́триваешься
3rd Sing,присма́тривается
1st Pl,присма́триваемся
2nd Pl,присма́триваетесь
3rd Pl,присма́триваются
Past M,присма́тривался
Past F,присма́тривалась
Past N,присма́тривалось
Past PL,присма́тривались
Imp S,присма́тривайся
Imp PL,присма́тривайтесь
