Infinitive,прикуси́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прикуси́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прику́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прикуси́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прикуси́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прикушу́
2nd Sing,прику́сишь
3rd Sing,прику́сит
1st Pl,прику́сим
2nd Pl,прику́сите
3rd Pl,прику́сят
Past M,прикуси́л
Past F,прикуси́ла
Past N,прикуси́ло
Past PL,прикуси́ли
Imp S,прикуси́
Imp PL,прикуси́те
