Infinitive,прислоня́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прислоня́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прислоня́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прислоня́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прислоня́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прислоня́юсь
2nd Sing,прислоня́ешься
3rd Sing,прислоня́ется
1st Pl,прислоня́емся
2nd Pl,прислоня́етесь
3rd Pl,прислоня́ются
Past M,прислоня́лся
Past F,прислоня́лась
Past N,прислоня́лось
Past PL,прислоня́лись
Imp S,прислоня́йся
Imp PL,прислоня́йтесь
