Infinitive,практикова́ться
Zaliznyak Class,2a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,практику́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,практикова́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,практику́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,практикова́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,практику́юсь
2nd Sing,практику́ешься
3rd Sing,практику́ется
1st Pl,практику́емся
2nd Pl,практику́етесь
3rd Pl,практику́ются
Past M,практикова́лся
Past F,практикова́лась
Past N,практикова́лось
Past PL,практикова́лись
Imp S,практику́йся
Imp PL,практику́йтесь
