Infinitive,пройти́сь
Zaliznyak Class,irreg-b/b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проше́дшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,проше́дшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,пройду́сь
2nd Sing,пройдёшься
3rd Sing,пройдётся
1st Pl,пройдёмся
2nd Pl,пройдётесь
3rd Pl,пройду́тся
Past M,прошёлся
Past F,прошла́сь
Past N,прошло́сь
Past PL,прошли́сь
Imp S,пройди́сь
Imp PL,пройди́тесь
