Infinitive,приле́чь
Zaliznyak Class,8a/b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прилёгший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прилёгши
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,приля́гу
2nd Sing,приля́жешь
3rd Sing,приля́жет
1st Pl,приля́жем
2nd Pl,приля́жете
3rd Pl,приля́гут
Past M,прилёг
Past F,прилегла́
Past N,прилегло́
Past PL,прилегли́
Imp S,приля́г
Imp PL,приля́гте
