Infinitive,примыка́ть
Zaliznyak Class,1a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,примыка́ющий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,примыка́вший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,примыка́я
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,примыка́в
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,примыка́вши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,примыка́ю
2nd Sing,примыка́ешь
3rd Sing,примыка́ет
1st Pl,примыка́ем
2nd Pl,примыка́ете
3rd Pl,примыка́ют
Past M,примыка́л
Past F,примыка́ла
Past N,примыка́ло
Past PL,примыка́ли
Imp S,примыка́й
Imp PL,примыка́йте
