Infinitive,пра́вить
Zaliznyak Class,4a
Aspect,imperfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пра́вящий
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,пра́вивший
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,пра́вя
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,пра́вив
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,short
PART:4:Participle Text,пра́вивши
PART:4:Participle Type,adverbial
PART:4:Participle Tense,past
PART:4:Participle Long or Short,long
1st Sing,пра́влю
2nd Sing,пра́вишь
3rd Sing,пра́вит
1st Pl,пра́вим
2nd Pl,пра́вите
3rd Pl,пра́вят
Past M,пра́вил
Past F,пра́вила
Past N,пра́вило
Past PL,пра́вили
Imp S,пра́вь
Imp PL,пра́вьте
