Infinitive,приукра́сить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приукра́сивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приукра́шенный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приукра́сив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приукра́сивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приукра́шу
2nd Sing,приукра́сишь
3rd Sing,приукра́сит
1st Pl,приукра́сим
2nd Pl,приукра́сите
3rd Pl,приукра́сят
Past M,приукра́сил
Past F,приукра́сила
Past N,приукра́сило
Past PL,приукра́сили
Imp S,приукра́сь
Imp PL,приукра́сьте
