Infinitive,проявля́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,проявля́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проявля́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,проявля́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проявля́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,проявля́юсь
2nd Sing,проявля́ешься
3rd Sing,проявля́ется
1st Pl,проявля́емся
2nd Pl,проявля́етесь
3rd Pl,проявля́ются
Past M,проявля́лся
Past F,проявля́лась
Past N,проявля́лось
Past PL,проявля́лись
Imp S,проявля́йся
Imp PL,проявля́йтесь
