Infinitive,привя́зываться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,привя́зывающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,привя́зывавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,привя́зываясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,привя́зывавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,привя́зываюсь
2nd Sing,привя́зываешься
3rd Sing,привя́зывается
1st Pl,привя́зываемся
2nd Pl,привя́зываетесь
3rd Pl,привя́зываются
Past M,привя́зывался
Past F,привя́зывалась
Past N,привя́зывалось
Past PL,привя́зывались
Imp S,привя́зывайся
Imp PL,привя́зывайтесь
