Infinitive,прозева́ть
Zaliznyak Class,1a(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прозева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прозёванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прозева́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прозева́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прозева́ю
2nd Sing,прозева́ешь
3rd Sing,прозева́ет
1st Pl,прозева́ем
2nd Pl,прозева́ете
3rd Pl,прозева́ют
Past M,прозева́л
Past F,прозева́ла
Past N,прозева́ло
Past PL,прозева́ли
Imp S,прозева́й
Imp PL,прозева́йте
