Infinitive,просвети́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,просвети́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просве́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,просвети́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,просвети́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,просвечу́
2nd Sing,просве́тишь
3rd Sing,просве́тит
1st Pl,просве́тим
2nd Pl,просве́тите
3rd Pl,просве́тят
Past M,просвети́л
Past F,просвети́ла
Past N,просвети́ло
Past PL,просвети́ли
Imp S,просвети́
Imp PL,просвети́те
