Infinitive,приближа́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,приближа́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,приближа́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приближа́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,приближа́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приближа́юсь
2nd Sing,приближа́ешься
3rd Sing,приближа́ется
1st Pl,приближа́емся
2nd Pl,приближа́етесь
3rd Pl,приближа́ются
Past M,приближа́лся
Past F,приближа́лась
Past N,приближа́лось
Past PL,приближа́лись
Imp S,приближа́йся
Imp PL,приближа́йтесь
