Infinitive,прожева́ть
Zaliznyak Class,2b(-ё-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,прожева́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прожёванный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прожева́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,прожева́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прожую́
2nd Sing,прожуёшь
3rd Sing,прожуёт
1st Pl,прожуём
2nd Pl,прожуёте
3rd Pl,прожую́т
Past M,прожева́л
Past F,прожева́ла
Past N,прожева́ло
Past PL,прожева́ли
Imp S,прожу́й
Imp PL,прожу́йте
