Infinitive,прома́хиваться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прома́хивающийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,прома́хивавшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прома́хиваясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,прома́хивавшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прома́хиваюсь
2nd Sing,прома́хиваешься
3rd Sing,прома́хивается
1st Pl,прома́хиваемся
2nd Pl,прома́хиваетесь
3rd Pl,прома́хиваются
Past M,прома́хивался
Past F,прома́хивалась
Past N,прома́хивалось
Past PL,прома́хивались
Imp S,прома́хивайся
Imp PL,прома́хивайтесь
