Infinitive,притаи́ться
Zaliznyak Class,4b
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,притаи́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,притаи́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,притаю́сь
2nd Sing,притаи́шься
3rd Sing,притаи́тся
1st Pl,притаи́мся
2nd Pl,притаи́тесь
3rd Pl,притая́тся
Past M,притаи́лся
Past F,притаи́лась
Past N,притаи́лось
Past PL,притаи́лись
Imp S,притаи́сь
Imp PL,притаи́тесь
