Infinitive,предложи́ть
Zaliznyak Class,4c
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предложи́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предло́женный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предложи́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,предложи́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предложу́
2nd Sing,предло́жишь
3rd Sing,предло́жит
1st Pl,предло́жим
2nd Pl,предло́жите
3rd Pl,предло́жат
Past M,предложи́л
Past F,предложи́ла
Past N,предложи́ло
Past PL,предложи́ли
Imp S,предложи́
Imp PL,предложи́те
