Infinitive,присуди́ть
Zaliznyak Class,4c⑦(-жд-)
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,присуди́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,присуждённый
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,присуди́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,присуди́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,присужу́
2nd Sing,прису́дишь
3rd Sing,прису́дит
1st Pl,прису́дим
2nd Pl,прису́дите
3rd Pl,прису́дят
Past M,присуди́л
Past F,присуди́ла
Past N,присуди́ло
Past PL,присуди́ли
Imp S,присуди́
Imp PL,присуди́те
