Infinitive,приста́вить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,приста́вивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приста́вленный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,приста́вив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,приста́вивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,приста́влю
2nd Sing,приста́вишь
3rd Sing,приста́вит
1st Pl,приста́вим
2nd Pl,приста́вите
3rd Pl,приста́вят
Past M,приста́вил
Past F,приста́вила
Past N,приста́вило
Past PL,приста́вили
Imp S,приста́вь
Imp PL,приста́вьте
