Infinitive,привлека́ться
Zaliznyak Class,1a
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,привлека́ющийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,привлека́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,привлека́ясь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,привлека́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,привлека́юсь
2nd Sing,привлека́ешься
3rd Sing,привлека́ется
1st Pl,привлека́емся
2nd Pl,привлека́етесь
3rd Pl,привлека́ются
Past M,привлека́лся
Past F,привлека́лась
Past N,привлека́лось
Past PL,привлека́лись
Imp S,привлека́йся
Imp PL,привлека́йтесь
