Infinitive,просчита́ться
Zaliznyak Class,1a
Aspect,perfective
Transitive,True
Reflexive,True
PART:0:Participle Text,просчита́вшийся
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,просчита́вшись
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
1st Sing,просчита́юсь
2nd Sing,просчита́ешься
3rd Sing,просчита́ется
1st Pl,просчита́емся
2nd Pl,просчита́етесь
3rd Pl,просчита́ются
Past M,просчита́лся
Past F,просчита́лась
Past N,просчита́лось
Past PL,просчита́лись
Imp S,просчита́йся
Imp PL,просчита́йтесь
