Infinitive,предназна́чить
Zaliznyak Class,4a
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,предназна́чивший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,предназна́ченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,предназна́чив
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,предназна́чивши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,предназна́чу
2nd Sing,предназна́чишь
3rd Sing,предназна́чит
1st Pl,предназна́чим
2nd Pl,предназна́чите
3rd Pl,предназна́чат
Past M,предназна́чил
Past F,предназна́чила
Past N,предназна́чило
Past PL,предназна́чили
Imp S,предназна́чь
Imp PL,предназна́чьте
