Infinitive,прорыча́ть
Zaliznyak Class,5b
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,прорыча́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,прорыча́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,прорыча́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,прорычу́
2nd Sing,прорычи́шь
3rd Sing,прорычи́т
1st Pl,прорычи́м
2nd Pl,прорычи́те
3rd Pl,прорыча́т
Past M,прорыча́л
Past F,прорыча́ла
Past N,прорыча́ло
Past PL,прорыча́ли
Imp S,прорычи́
Imp PL,прорычи́те
