Infinitive,привинти́ть
Zaliznyak Class,4c // 4b⑧
Aspect,perfective
Transitive,True
Reflexive,False
PART:0:Participle Text,привинти́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,приви́нченный
PART:1:Participle Type,passive
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,привинти́в
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,short
PART:3:Participle Text,привинти́вши
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,привинчу́
2nd Sing,приви́нтишь
3rd Sing,приви́нтит
1st Pl,приви́нтим
2nd Pl,приви́нтите
3rd Pl,приви́нтят
Past M,привинти́л
Past F,привинти́ла
Past N,привинти́ло
Past PL,привинти́ли
Imp S,привинти́
Imp PL,привинти́те
