Infinitive,проси́ться
Zaliznyak Class,4c
Aspect,imperfective
Transitive,True
Reflexive,True
PART:0:Participle Text,прося́щийся
PART:0:Participle Type,active
PART:0:Participle Tense,present
PART:0:Participle Long or Short,long
PART:1:Participle Text,проси́вшийся
PART:1:Participle Type,active
PART:1:Participle Tense,past
PART:1:Participle Long or Short,long
PART:2:Participle Text,прося́сь
PART:2:Participle Type,adverbial
PART:2:Participle Tense,present
PART:2:Participle Long or Short,long
PART:3:Participle Text,проси́вшись
PART:3:Participle Type,adverbial
PART:3:Participle Tense,past
PART:3:Participle Long or Short,long
1st Sing,прошу́сь
2nd Sing,про́сишься
3rd Sing,про́сится
1st Pl,про́симся
2nd Pl,про́ситесь
3rd Pl,про́сятся
Past M,проси́лся
Past F,проси́лась
Past N,проси́лось
Past PL,проси́лись
Imp S,проси́сь
Imp PL,проси́тесь
