Infinitive,пробы́ть
Zaliznyak Class,irreg-a/c[①]
Aspect,perfective
Transitive,False
Reflexive,False
PART:0:Participle Text,пробы́вший
PART:0:Participle Type,active
PART:0:Participle Tense,past
PART:0:Participle Long or Short,long
PART:1:Participle Text,пробы́в
PART:1:Participle Type,adverbial
PART:1:Participle Tense,past
PART:1:Participle Long or Short,short
PART:2:Participle Text,пробы́вши
PART:2:Participle Type,adverbial
PART:2:Participle Tense,past
PART:2:Participle Long or Short,long
1st Sing,пробу́ду
2nd Sing,пробу́дешь
3rd Sing,пробу́дет
1st Pl,пробу́дем
2nd Pl,пробу́дете
3rd Pl,пробу́дут
Past M,про́был
Past F,пробыла́
Past N,про́было
Past PL,про́были
Imp S,пробу́дь
Imp PL,пробу́дьте
